file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,12
style.css,54,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,70
style.css,55,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,46
style.css,56,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,57,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,58,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,14
style.css,59,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,17
style.css,60,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,26
style.css,61,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,46
style.css,62,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,35
style.css,63,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,64,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,65,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,14
style.css,66,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,18
style.css,67,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,9
style.css,68,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,11
style.css,69,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,17
style.css,70,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,20
style.css,71,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,13
style.css,72,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,19
style.css,73,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,11
style.css,74,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,17
style.css,75,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
style.css,76,css,e4ca5349,rahul-sg,2025-01-24,18:30:33,-08:00,2025-01-24T18:30:33-08:00,0,0
